Year,Name,College,Position,Height,Weight,40_Yard,Bench_Press,Vertical_Leap,Broad_Jump,Shuttle,3_Cone
2019,Julian Hylton,Southern Illinois,SS,71.75,214,4.49,18.0,37.0,126.0,4.35,6.96
2019,Alec Ingold,Wisconsin,FB,72.75,242,4.89,16.0,34.0,116.0,4.32,
2019,Andy Isabella,Massachusetts,WR,68.75,188,4.31,15.0,36.5,121.0,4.15,
2019,Ridwan Issahaku,Texas Christian,SS,70.5,193,4.68,11.0,33.0,122.0,4.25,6.94
2019,Martez Ivey,Florida,OG,77.0,315,5.82,15.0,26.5,103.0,4.99,8.16
2019,Joe Jackson,Miami (Fl),DE,76.25,275,4.86,22.0,27.0,109.0,4.66,7.8
2019,Michael Jackson,Miami (Fl),CB,72.63,210,4.45,13.0,40.5,130.0,4.12,
2019,Josh Jacobs,Alabama,RB,70.0,220,4.64,18.0,35.0,112.0,,
2019,Taivon Jacobs,Maryland,WR,69.75,170,4.64,13.0,39.0,123.0,,
2019,Andre James,Ucla,OG,76.13,299,5.32,21.0,29.0,105.0,4.84,
2019,Chris James,Wisconsin,RB,69.63,215,4.67,19.0,34.0,117.0,4.23,7.11
2019,CeCe Jefferson,Florida,DE,73.63,266,5.02,17.0,30.5,108.0,4.53,
2019,Jalen Jelks,Oregon,EDG,77.38,256,4.92,19.0,32.5,113.0,4.59,
2019,Elgton Jenkins,Mississippi State,OL,76.5,310,5.1,29.0,28.0,109.0,4.62,
2019,Gary Jennings,West Virginia,WR,73.0,214,4.42,20.0,37.0,127.0,4.15,
2019,Anthony Johnson,Buffalo,WR,73.88,209,4.55,18.0,32.5,122.0,,
2019,Darryl Johnson,North Carolina A&T,EDG,78.0,253,4.82,20.0,32.5,112.0,4.56,6.97
2019,Devon Johnson,Ferris State (Mi),OT,79.25,338,5.12,26.0,27.5,89.0,5.28,8.28
2019,Diontae Johnson,Toledo,WR,70.5,183,4.53,15.0,33.5,123.0,4.45,
2019,Fred Johnson,Florida,OL,79.0,326,5.32,20.0,24.5,104.0,5.09,7.91
2019,Gary Johnson,Texas,LB,71.88,226,4.43,16.0,33.5,121.0,4.57,
2019,Isaiah Johnson,Houston,CB,73.88,208,4.4,9.0,36.5,133.0,4.06,
2019,Jaquan Johnson,Miami (Fl),S,70.13,191,4.69,18.0,33.0,121.0,4.18,7.2
2019,JonVea Johnson,Toledo,WR,70.75,188,4.4,12.0,35.0,128.0,4.17,6.68
2019,Justin Johnson,Mississippi State,TE,75.0,235,4.6,22.0,34.0,120.0,4.47,7.36
2019,KeeSean Johnson,Frenso State (Ca),WR,73.13,201,4.6,14.0,30.0,117.0,4.23,6.81
2019,Lonnie Johnson,Kentucky,CB,74.13,213,4.52,15.0,38.0,129.0,4.1,
2019,Olabisi Johnson,Colorado State,WR,72.5,204,4.51,14.0,38.0,124.0,4.16,
2019,PJ Johnson,Arizona,DT,75.38,321,5.34,18.0,24.5,94.0,4.97,7.89
2019,Ty Johnson,Maryland,RB,70.75,210,4.4,13.0,34.5,123.0,,
2019,Tyron Johnson,Oklahoma State,WR,72.88,193,4.36,16.0,30.0,116.0,4.4,7.07
2019,Dre'Mont Jones,Ohio State,DT,74.75,281,5.12,18.0,31.5,110.0,4.53,
2019,Fredrick Jones,Florida State,DT,73.75,318,5.32,26.0,24.0,100.0,4.96,7.85
2019,Jahair Jones,Miami (Fl),OG,76.0,311,5.4,24.0,26.0,88.0,4.96,8.06
2019,Jordan Jones,Kentucky,LB,73.88,234,4.62,23.0,32.5,123.0,4.37,
2019,Michael Jordan,Ohio State,C,77.88,312,5.27,19.0,32.5,116.0,4.71,
2019,Kendall Joseph,Clemson,LB,71.63,233,5.05,25.0,26.5,109.0,4.47,7.63
2019,Micah Kapoi,Wisconsin,OG,74.75,308,5.55,23.0,27.5,99.0,5.16,8.36
2019,Kingsley Keke,Texas A&M,DE,74.63,288,4.95,20.0,31.5,111.0,4.46,7.38
2019,Anthoula Kelly,Frenso State (Ca),CB,69.25,182,4.44,16.0,38.5,120.0,4.31,7.18
2019,Derrick Kelly,Florida State,OT,76.75,307,5.44,25.0,28.0,105.0,5.03,8.2
