Fumbles Lost,Games Played,Player Name,Position,Team,Passing Yards,Rushing Yards,Receiving Yards,Passing TDs,Rushing TDs,Receiving TDs,Total Yards
0.0,15.0,Patrick Laird,RB,MIA,0.0,168.0,204.0,,,,372.0
1.0,14.0,Ricky Seals-Jones,TE,CLE,0.0,0.0,229.0,,,,229.0
0.0,9.0,Kaden Smith,TE,NYG,0.0,0.0,268.0,,,,268.0
0.0,16.0,Nick Boyle,TE,BAL,0.0,0.0,321.0,,,,321.0
0.0,10.0,Jeff Wilson,RB,SFO,0.0,105.0,34.0,,,,139.0
1.0,14.0,David Moore,WR,SEA,0.0,25.0,301.0,,,,326.0
0.0,16.0,Irv Smith Jr.,TE,MIN,0.0,0.0,311.0,,,,311.0
0.0,15.0,Brandon Bolden,RB,NWE,0.0,68.0,111.0,,,,179.0
0.0,16.0,Justice Hill,RB,BAL,0.0,225.0,70.0,,,,295.0
0.0,15.0,Cody Latimer,WR,NYG,0.0,0.0,300.0,,,,300.0
0.0,6.0,Matt Moore,QB,KAN,659.0,-1.0,0.0,,,,658.0
1.0,6.0,Bo Scarbrough,RB,DET,0.0,377.0,5.0,,,,382.0
1.0,16.0,Geronimo Allison,WR,GNB,0.0,7.0,287.0,,,,294.0
0.0,16.0,Josh Hill,TE,NOR,0.0,0.0,226.0,,,,226.0
1.0,16.0,Dion Lewis,RB,TEN,0.0,209.0,164.0,,,,373.0
0.0,16.0,Josh Reynolds,WR,LAR,0.0,23.0,326.0,,,,349.0
1.0,11.0,Damiere Byrd,WR,ARI,0.0,0.0,359.0,,,,359.0
0.0,8.0,Marcus Johnson,WR,IND,0.0,0.0,277.0,,,,277.0
1.0,16.0,Dare Ogunbowale,RB,TAM,0.0,17.0,286.0,,,,303.0
0.0,16.0,Seth Roberts,WR,BAL,0.0,0.0,271.0,,,,271.0
0.0,12.0,Kalen Ballage,RB,MIA,0.0,135.0,63.0,,,,198.0
1.0,16.0,Giovani Bernard,RB,CIN,0.0,170.0,234.0,,,,404.0
0.0,16.0,Miles Boykin,WR,BAL,0.0,0.0,198.0,,,,198.0
2.0,4.0,Nick Foles,QB,JAX,736.0,23.0,0.0,,,,759.0
0.0,16.0,Ryquell Armstead,RB,JAX,0.0,108.0,144.0,,,,252.0
1.0,10.0,Wayne Gallman,RB,NYG,0.0,110.0,102.0,,,,212.0
0.0,16.0,Kelvin Harmon,WR,WAS,11.0,0.0,365.0,,,,376.0
0.0,10.0,Paul Richardson,WR,WAS,0.0,0.0,245.0,,,,245.0
0.0,16.0,DaeSean Hamilton,WR,DEN,0.0,0.0,297.0,,,,297.0
1.0,16.0,Ty Johnson,RB,DET,0.0,273.0,109.0,,,,382.0
0.0,15.0,Isaiah McKenzie,WR,BUF,0.0,49.0,254.0,,,,303.0
0.0,15.0,Jakobi Meyers,WR,NWE,0.0,0.0,359.0,,,,359.0
0.0,16.0,C.J. Uzomah,TE,CIN,0.0,0.0,242.0,,,,242.0
0.0,15.0,Demetrius Harris,TE,CLE,0.0,0.0,149.0,,,,149.0
0.0,9.0,Jonathan Williams,RB,IND,0.0,235.0,59.0,,,,294.0
0.0,14.0,Tavon Austin,WR,DAL,0.0,47.0,177.0,,,,224.0
0.0,7.0,Delanie Walker,TE,TEN,0.0,0.0,215.0,,,,215.0
0.0,3.0,Brandon Allen,QB,DEN,515.0,39.0,0.0,,,,554.0
